id,Sector,Last page,Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"I see myself as someone who is extraverted, enthusiastic:","I see myself as someone who is critical, quarrelsome:","I see myself as someone who is dependable, self-disciplined:","I see myself as someone who is anxious, easily upset:",I see myself as someone who is open to new experiences:,"I see myself as someone who is reserved, quiet:","I see myself as someone who is sympathetic, warm:","I see myself as someone who is disorganized, careless:","I see myself as someone who is calm, emotionally stable:","I see myself as someone who is conventional, uncreative:","Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,Do you smoke more frequently during the first hours after waking up than during the rest of the day? ,Do you smoke if you are so ill that you are in bed most of the day?,How soon after you wake up do you smoke your first cigarette?,Which cigarette would you mostly hate to give up?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,How would you describe your current smoking behavior compared to your smoking behavior before Lebanon's economic crisis and revolution began in 2019?,What is your favorite or preferred cigarette brand(s) if you were able to access it?,What cigarette brand(s) are you currently using?,Are you currently able to afford your favorite or preferred cigarette brand(s)?,Has 2019's revolution or economic crisis caused you to switch away from your favorite or preferred cigarette brand(s) to an  alternative?,Gender:,How old are you?,Which governerate do you live in or spend most of your time in?,What is the highest level of education you have attained?,What is your current employment status?,What is your current employment status? [Comment],What is your current marital status?,What is your current marital status? [Comment],Do you have close friends?,"Of the five closest friends or acquaintances that you spend time with on a regular basis, how many of them are smokers?",What is your main source of income?,What is your main source of income? [Comment],What type of income or financial support does your household receive?,What type of income or financial support does your household receive? [Comment],"If you receive payment in Lebanese Lira, what is your current estimated monthly household income? (If income is in US Dollars, then refer to the current black market exchange).",How would you describe your current income sufficiency?,"Including yourself, how many people currently live in your household?",To what extent were you financially (negatively) affected by the deterioration of the Lebanese economy?,How often do you exercise?,"On average, how many hours per day do you spend on social media for entertainment and social interaction (Facebook, Instagram, YouTube, etc...)?",How often do you feel stressed?,Employment Status
405,Public,5,Yes,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Disagree moderately,Disagree strongly,Disagree a little,Disagree strongly,Disagree strongly,Yes,21 to 30 cigarettes,Yes,Yes,Within 5 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,25,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Medium: covers all basic needs,8,Moderately,Every day or at least 5 times every week,Between 2 and 3 hours,Rarely,Unemployed
406,Public,5,Yes,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree strongly,No,11 to 20 cigarettes,Yes,Yes,After 60 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,Marlboro fine touch,Marlboro fine touch,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,20,Mount Lebanon,Incomplete bachelor's degree,Student with a part-time or full-time job,,Single,,Yes,4,Job,,Mixed,,I prefer not to say,Medium: covers all basic needs,5,Very,Every day or at least 5 times every week,Between 2 and 3 hours,Rarely,Employed
408,Public,5,Yes,Agree moderately,,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree moderately,No,11 to 20 cigarettes,No,No,6 to 30 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has remained the same,Kent,Kent,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,High school degree or equivalent (e.g. GED),Business owner,,Single,,Yes,4,Own business income,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Often or at least 3 days every week,More than 4 hours,Occasionally,Employed
409,Public,5,Yes,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Yes,21 to 30 cigarettes,Yes,Yes,6 to 30 minutes,The first one in the morning,13,The number of cigarettes I smoke per day has increased,Malboro,Malboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Bachelor's degree (BA/BS),Employee; full-time,,Single,,Yes,5,Job,,Mixed,,I don't know,Medium: covers all basic needs,6,Moderately,Sometimes or a few days every month,More than 4 hours,Constantly,Employed
410,Public,5,Yes,Agree moderately,Agree strongly,Agree moderately,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree moderately,Neither agree nor disagree,Yes,10 or less cigarettes/day,No,No,31 to 60 minutes,All others,14,The number of cigarettes I smoke per day has decreased,Marlboro,Cedars,No,"Yes, I am currently using a cheaper alternative",Female,25,Beirut,Bachelor's degree (BA/BS),Homemaker,,Married,,Yes,3,Job,,Mixed,,I prefer not to say,Medium: covers all basic needs,6,Moderately,Never,More than 4 hours,Constantly,Unemployed
413,Public,5,Yes,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Disagree moderately,Yes,11 to 20 cigarettes,Yes,No,Within 5 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,.,Cedars,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,25,Beirut,Bachelor's degree (BA/BS),Business owner,,Single,,Yes,0,Job,,Mixed,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,4,Very,Sometimes or a few days every month,More than 4 hours,Constantly,Employed
414,Public,5,Yes,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has remained the same,Kent,Kent,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,28,Beirut,Bachelor's degree (BA/BS),Employee; full-time,,Engaged,,Yes,5,Job,,"Other, please specify",,I prefer not to say,Medium: covers all basic needs,4,Very,Often or at least 3 days every week,Between 3 and 4 hours,Rarely,Employed
417,Public,5,Yes,Agree moderately,Disagree moderately,Agree a little,Agree strongly,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Disagree strongly,No,11 to 20 cigarettes,Yes,No,6 to 30 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,19,Beirut,Incomplete graduate degree,"Other, please specify",طالب مع عمل حر,Single,,Yes,1,Investment,,Fully in US Dollars,,I prefer not to say,Medium: covers all basic needs,5,Slightly,Often or at least 3 days every week,Between 1 hour and 2 hours,Frequently,Unemployed
436,Public,5,Yes,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,2016,The number of cigarettes I smoke per day has decreased,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,30,Beirut,"Post-graduate degree (PhD, MD, or other)",Employee; full-time,,Married,,Yes,0,Job,,Fully in Lebanese Lira,,I prefer not to say,Medium: covers all basic needs,4,Not at all,Every day or at least 5 times every week,Between 1 hour and 2 hours,Rarely,Employed
443,Public,5,Yes,Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,18,The number of cigarettes I smoke per day has remained the same,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,28,Beirut,"Post-graduate degree (PhD, MD, or other)",Business owner,,Single,,Yes,4,Own business income,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,0,Slightly,Often or at least 3 days every week,I don't use any social media platforms,Rarely,Employed
459,Public,5,Yes,Agree strongly,,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,23,The number of cigarettes I smoke per day has decreased,دوفيدوف,دوفيدوف,No,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,27,Nabatieh,Graduate degree (MA/MS),Student only,,Divorced/Separated,,Yes,4,Parents,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Very low income: does not cover basic needs for a month,3,Extremely,Sometimes or a few days every month,More than 4 hours,Constantly,Unemployed
482,Public,5,Yes,Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Disagree strongly,Agree moderately,Disagree strongly,Yes,31 cigarettes/day or more,No,Yes,6 to 30 minutes,All others,13,The number of cigarettes I smoke per day has remained the same,gauloises,gauloises,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,25,South Lebanon,Incomplete graduate degree,Employee; full-time,,Engaged,,Yes,5,Job,,Mixed,,Between 8 and 12 million L.L,Very low income: does not cover basic needs for a month,5,Extremely,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Employed
521,Public,5,Yes,Agree a little,Disagree moderately,Agree a little,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Disagree moderately,Disagree moderately,Yes,21 to 30 cigarettes,Yes,Yes,Within 5 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has increased,اوسكار,اوسكار,Yes,"Yes, I am currently using a cheaper alternative",Male,25,South Lebanon,Less than high school,Employee; part-time,,Single,,Yes,2,Job,,Fully in US Dollars,,I prefer not to say,Medium: covers all basic needs,7,Moderately,Often or at least 3 days every week,More than 4 hours,Frequently,Employed
528,Public,5,Yes,Disagree a little,,Agree strongly,Agree a little,Agree a little,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Disagree moderately,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has decreased,Cedars,Cedars,No,"Yes, I am currently using a cheaper alternative",Female,23,Beirut,Incomplete graduate degree,Unemployed (but seeking employment),,Married,,Yes,4,"Other, please specify",زوجي,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Very low income: does not cover basic needs for a month,4,Moderately,Never,Between 1 hour and 2 hours,Rarely,Unemployed
537,Public,5,Yes,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree a little,Disagree strongly,Neither agree nor disagree,Yes,10 or less cigarettes/day,Yes,Yes,31 to 60 minutes,All others,18,The number of cigarettes I smoke per day has increased,Marlboro gold,Cudars slim,No,"Yes, I am currently using a more expensive alternative",Female,20,Mount Lebanon,Incomplete bachelor's degree,Student only,,Single,,No,5,Parents,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Very low income: does not cover basic needs for a month,5,Very,Sometimes or a few days every month,More than 4 hours,Constantly,Unemployed
549,Public,5,Yes,Neither agree nor disagree,,Agree a little,Agree strongly,Disagree strongly,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,No,10 or less cigarettes/day,Yes,Yes,After 60 minutes,All others,17,The number of cigarettes I smoke per day has decreased,Malboro,Suderes,No,"Yes, I am currently using a cheaper alternative",Male,25,South Lebanon,Incomplete graduate degree,Student only,,Single,,Yes,3,Parents,,Mixed,,Between 4 and 8 million L.L,Low: barely covers basic needs for a month,6,Moderately,Never,More than 4 hours,Rarely,Unemployed
550,Public,5,Yes,Agree a little,Disagree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,22,The number of cigarettes I smoke per day has remained the same,Cedars - Malboro,Cedars,No,"Yes, I am currently using a cheaper alternative",Female,22,South Lebanon,Incomplete graduate degree,Student only,طالبة ربة منزل و تعمل من المنزل,Married,,No,1,"Other, please specify",الزوج و عمل بمدخول بسيط,Fully in Lebanese Lira,,Between 4 and 8 million L.L,Medium: covers all basic needs,1,Very,Never,Between 2 and 3 hours,Constantly,Unemployed
563,Public,5,Yes,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree a little,Yes,21 to 30 cigarettes,No,No,After 60 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has remained the same,More,More,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,29,Beirut,Bachelor's degree (BA/BS),Employee; full-time,,Divorced/Separated,,Yes,5,Job,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Very low income: does not cover basic needs for a month,2,Very,Never,More than 4 hours,Occasionally,Employed
570,Public,5,Yes,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Yes,11 to 20 cigarettes,Yes,Yes,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has decreased,Davidof,Cedars,No,"Yes, I am currently using a cheaper alternative",Female,30,Beirut,Graduate degree (MA/MS),Unemployed (but seeking employment),,Divorced/Separated,,Yes,1,"Other, please specify",مساعدة مالية من الخارج,Fully in US Dollars,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,0,Very,Often or at least 3 days every week,Between 3 and 4 hours,Rarely,Unemployed
588,Public,5,Yes,Agree a little,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree moderately,Disagree moderately,Yes,31 cigarettes/day or more,Yes,No,6 to 30 minutes,All others,16,The number of cigarettes I smoke per day has decreased,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Male,20,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,Between 12 and 16 million L.L,Low: barely covers basic needs for a month,6,Extremely,Never,Between 1 hour and 2 hours,Frequently,Unemployed
589,Public,5,Yes,Neither agree nor disagree,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,Yes,21 to 30 cigarettes,Yes,Yes,31 to 60 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has decreased,davidoff,cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,4,Parents,,Fully in Lebanese Lira,,Between 12 and 16 million L.L,Medium: covers all basic needs,3,Extremely,Never,Between 2 and 3 hours,Occasionally,Unemployed
590,Public,5,Yes,Agree a little,Agree moderately,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree moderately,Disagree a little,Disagree moderately,Yes,21 to 30 cigarettes,Yes,No,6 to 30 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has decreased,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Engaged,,Yes,4,Job,,Fully in Lebanese Lira,,Between 16 and 20 million L.L,Medium: covers all basic needs,3,Very,Sometimes or a few days every month,Between 1 hour and 2 hours,Occasionally,Unemployed
591,Public,5,Yes,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,19,The number of cigarettes I smoke per day has decreased,marlboro gold,cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,4,Parents,,Fully in Lebanese Lira,,Between 12 and 16 million L.L,Medium: covers all basic needs,4,Extremely,Every day or at least 5 times every week,Less than 1 hour,Rarely,Employed
592,Public,5,Yes,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,19,The number of cigarettes I smoke per day has decreased,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Female,21,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,1,Parents,,Fully in Lebanese Lira,,Between 12 and 16 million L.L,Medium: covers all basic needs,5,Extremely,Never,Between 2 and 3 hours,Occasionally,Employed
594,Public,5,Yes,Agree strongly,,Neither agree nor disagree,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree strongly,Yes,21 to 30 cigarettes,Yes,Yes,Within 5 minutes,All others,18,The number of cigarettes I smoke per day has increased,Marlboro,Cedars,No,"Yes, I am currently using a cheaper alternative",Male,22,Beirut,Bachelor's degree (BA/BS),Unemployed (but seeking employment),حاولت التوقف عن التدخين عدة مرات لكن لم استطع,Single,,Yes,5,Parents,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,6,Extremely,Often or at least 3 days every week,More than 4 hours,Frequently,Unemployed
596,Public,5,Yes,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,No,11 to 20 cigarettes,No,No,31 to 60 minutes,All others,18,The number of cigarettes I smoke per day has decreased,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,Between 16 and 20 million L.L,Medium: covers all basic needs,5,Very,Never,Between 2 and 3 hours,Occasionally,Unemployed
597,Public,5,Yes,Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has decreased,kent,cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,4,Parents,,Fully in Lebanese Lira,,Between 16 and 20 million L.L,Medium: covers all basic needs,4,Very,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Unemployed
598,Public,5,Yes,Disagree a little,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Disagree a little,Disagree moderately,Yes,31 cigarettes/day or more,Yes,No,6 to 30 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has decreased,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Female,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,4,Parents,,Fully in Lebanese Lira,,Between 16 and 20 million L.L,Low: barely covers basic needs for a month,6,Very,Never,Between 2 and 3 hours,Occasionally,Unemployed
599,Public,5,Yes,Disagree a little,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Yes,31 cigarettes/day or more,Yes,No,Within 5 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,22,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,4,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Unemployed
600,Public,5,Yes,Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,No,31 cigarettes/day or more,Yes,No,Within 5 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has increased,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,Between 16 and 20 million L.L,Medium: covers all basic needs,5,Very,Sometimes or a few days every month,Between 2 and 3 hours,Constantly,Unemployed
601,Public,5,Yes,Agree strongly,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree strongly,Yes,21 to 30 cigarettes,Yes,Yes,31 to 60 minutes,All others,17,The number of cigarettes I smoke per day has remained the same,Marlboro,Heats,No,"Yes, I am currently using a cheaper alternative",Male,26,Mount Lebanon,Incomplete bachelor's degree,Student only,,Single,,Yes,5,Own business income,,Fully in Lebanese Lira,,I prefer not to say,Medium: covers all basic needs,6,Very,Every day or at least 5 times every week,More than 4 hours,Occasionally,Unemployed
603,Public,5,Yes,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree a little,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,18,The number of cigarettes I smoke per day has remained the same,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,2,Parents,,Fully in Lebanese Lira,,Between 12 and 16 million L.L,Medium: covers all basic needs,4,Very,Often or at least 3 days every week,Between 1 hour and 2 hours,Rarely,Unemployed
604,Public,5,Yes,Agree moderately,Agree a little,Agree strongly,Disagree a little,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No,11 to 20 cigarettes,No,No,31 to 60 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,davidoff,cedars,No,"Yes, I am currently using a cheaper alternative",Male,22,Mount Lebanon,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Engaged,,Yes,1,Job,,Fully in Lebanese Lira,,Between 16 and 20 million L.L,Medium: covers all basic needs,3,Very,Often or at least 3 days every week,Between 1 hour and 2 hours,Rarely,Employed
605,Public,5,Yes,Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,Agree a little,Disagree moderately,Agree strongly,Agree a little,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,19,The number of cigarettes I smoke per day has decreased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,2,Parents,,Fully in Lebanese Lira,,Between 16 and 20 million L.L,Medium: covers all basic needs,4,Very,Often or at least 3 days every week,Between 2 and 3 hours,Rarely,Unemployed
606,Public,5,Yes,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree moderately,Agree moderately,Agree a little,No,11 to 20 cigarettes,No,No,31 to 60 minutes,All others,19,The number of cigarettes I smoke per day has decreased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,1,Parents,,Mixed,,More than 20 million L.L,Medium: covers all basic needs,5,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Employed
609,Public,5,Yes,Agree strongly,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree a little,Agree moderately,Agree a little,Agree moderately,Agree a little,Yes,11 to 20 cigarettes,Yes,Yes,6 to 30 minutes,The first one in the morning,24,The number of cigarettes I smoke per day has increased,مارلبورو,سيدر,No,"Yes, I am currently using a cheaper alternative",Male,27,Beirut,Bachelor's degree (BA/BS),Unemployed (but seeking employment),,Married,....,Yes,3,Own business income,,Fully in Lebanese Lira,,Between 4 and 8 million L.L,High: completely covers necessities with a few luxury items,3,Very,Sometimes or a few days every month,Between 1 hour and 2 hours,Frequently,Unemployed
612,Public,5,Yes,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Yes,21 to 30 cigarettes,No,Yes,31 to 60 minutes,All others,18,The number of cigarettes I smoke per day has increased,marlboro gold,cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,5,Parents,,Fully in Lebanese Lira,,Between 16 and 20 million L.L,Low: barely covers basic needs for a month,5,Very,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Unemployed
613,Public,5,Yes,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,Yes,31 cigarettes/day or more,No,Yes,31 to 60 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has remained the same,marlboro,ceedars,No,"Yes, I am currently using a cheaper alternative",Male,20,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,"Other, please specify",relationship,Yes,4,Parents,,Fully in Lebanese Lira,,More than 20 million L.L,Medium: covers all basic needs,8,Extremely,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Employed
614,Public,5,Yes,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Yes,21 to 30 cigarettes,No,No,31 to 60 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has remained the same,marlboro gold,cedars and laf,No,"Yes, I am currently using a cheaper alternative",Male,21,Keserwan - Jbeil,Bachelor's degree (BA/BS),Student only,,Single,,Yes,4,Parents,,Fully in Lebanese Lira,,More than 20 million L.L,Medium: covers all basic needs,6,Very,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Unemployed
615,Public,5,Yes,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Yes,21 to 30 cigarettes,Yes,Yes,31 to 60 minutes,The first one in the morning,23,The number of cigarettes I smoke per day has increased,Marlboro,cedar,No,"Yes, I am currently using a cheaper alternative",Female,28,Beirut,Bachelor's degree (BA/BS),Business owner,,Married,,Yes,3,Own business income,,Fully in Lebanese Lira,,Between 12 and 16 million L.L,Low: barely covers basic needs for a month,4,Very,Sometimes or a few days every month,Between 1 hour and 2 hours,Occasionally,Employed
616,Public,5,Yes,Agree moderately,Agree a little,Disagree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,31 to 60 minutes,The first one in the morning,21,The number of cigarettes I smoke per day has decreased,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Male,25,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,2,Job,,Fully in Lebanese Lira,,Between 4 and 8 million L.L,Low: barely covers basic needs for a month,4,Extremely,Never,Between 2 and 3 hours,Frequently,Employed
617,Public,5,Yes,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Yes,11 to 20 cigarettes,Yes,No,31 to 60 minutes,All others,10,The number of cigarettes I smoke per day has remained the same,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Female,24,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Engaged,,Yes,2,Job,,Fully in Lebanese Lira,,Between 8 and 12 million L.L,Medium: covers all basic needs,3,Extremely,Never,Between 2 and 3 hours,Frequently,Employed
618,Public,5,Yes,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree moderately,Yes,21 to 30 cigarettes,Yes,No,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Male,22,South Lebanon,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,4,Job,,Fully in Lebanese Lira,,Between 8 and 12 million L.L,Medium: covers all basic needs,5,Very,Never,Between 2 and 3 hours,Occasionally,Employed
